Frame,timestep,Id,Location_x,Location_y,Location_z,Rotation_x,Rotation_y,Rotation_z
164,8.15,204,39636.1,2601.0,0.184021,39636.1,2601.0,0.184021
165,8.2,197,39631.8,15007.6,3.37578,39631.8,15007.6,3.37578
165,8.2,204,39636.1,2545.3,0.183872,39636.1,2545.3,0.183872
166,8.25,197,39631.8,14967.0,3.37005,39631.8,14967.0,3.37005
166,8.25,204,39636.2,2489.59,0.183853,39636.2,2489.59,0.183853
167,8.3,197,39631.7,14925.9,3.36588,39631.7,14925.9,3.36588
167,8.3,204,39636.2,2433.85,0.183784,39636.2,2433.85,0.183784
168,8.35,197,39631.7,14884.4,3.36141,39631.7,14884.4,3.36141
168,8.35,204,39636.3,2378.11,0.183857,39636.3,2378.11,0.183857
169,8.4,197,39631.7,14842.4,3.35873,39631.7,14842.4,3.35873
169,8.4,204,39636.4,2322.36,0.183865,39636.4,2322.36,0.183865
170,8.45,197,39631.6,14800.0,3.35662,39631.6,14800.0,3.35662
170,8.45,204,39636.5,2266.62,0.18399,39636.5,2266.62,0.18399
171,8.5,197,39631.6,14757.3,3.35672,39631.6,14757.3,3.35672
171,8.5,204,39636.5,2210.87,0.184048,39636.5,2210.87,0.184048
172,8.55,197,39631.6,14714.2,3.35746,39631.6,14714.2,3.35746
172,8.55,204,39636.6,2155.14,0.184204,39636.6,2155.14,0.184204
173,8.6,197,39631.6,14670.9,3.36017,39631.6,14670.9,3.36017
173,8.6,204,39636.6,2099.41,0.18425,39636.6,2099.41,0.18425
174,8.65,197,39631.6,14627.4,3.36271,39631.6,14627.4,3.36271
174,8.65,204,39636.7,2043.71,0.18438,39636.7,2043.71,0.18438
175,8.7,197,39631.5,14583.8,3.36649,39631.5,14583.8,3.36649
175,8.7,204,39636.8,1988.0,0.18441,39636.8,1988.0,0.18441
176,8.75,197,39631.5,14540.1,3.36934,39631.5,14540.1,3.36934
176,8.75,204,39636.9,1932.32,0.184502,39636.9,1932.32,0.184502
177,8.8,197,39631.5,14496.2,3.37263,39631.5,14496.2,3.37263
177,8.8,204,39636.9,1876.65,0.184486,39636.9,1876.65,0.184486
178,8.85,197,39631.4,14452.2,3.37445,39631.4,14452.2,3.37445
178,8.85,204,39637.0,1820.98,0.184525,39637.0,1820.98,0.184525
179,8.9,197,39631.4,14408.2,3.37649,39631.4,14408.2,3.37649
179,8.9,204,39637.1,1765.32,0.18446,39637.1,1765.32,0.18446
180,8.95,197,39631.4,14363.9,3.37713,39631.4,14363.9,3.37713
180,8.95,204,39637.1,1709.66,0.184467,39637.1,1709.66,0.184467
181,9,197,39631.3,14319.6,3.37817,39631.3,14319.6,3.37817
